Census Block,FY23 Count,FY24 Count,Grand Total
421010001014015,,2,2
421010001023002,,1,1
421010003001010,1,,1
421010003001011,2,,2
421010003001013,1,,1
421010008012006,1,,1
421010008032003,,1,1
421010008033000,1,,1
421010010011006,,1,1
421010010024002,,7,7
421010011021001,5,,5
421010011023000,1,,1
421010012012001,1,,1
421010012012002,,1,1
421010012041004,,1,1
421010012041007,,1,1
421010012042001,1,,1
421010012042006,1,,1
421010013012001,1,,1
421010013012008,1,,1
421010013021007,,1,1
421010013022006,1,,1
421010013023001,1,,1
421010013024020,1,,1
421010014001002,,1,1
421010014001006,,1,1
421010014001015,1,,1
421010014002002,1,,1
421010014002006,1,,1
421010014003014,1,,1
421010014003020,5,,5
421010015002004,1,,1
421010015002031,1,1,2
421010015002032,,1,1
421010016002007,1,,1
421010017001006,1,,1
421010017002017,1,,1
421010018002013,1,,1
421010019002007,1,,1
421010019003011,,2,2
421010020001003,1,,1
421010020001004,,1,1
421010020001005,1,,1
421010020001007,,1,1
421010020001009,1,,1
421010020001010,1,,1
421010020001012,1,,1
421010020002009,1,,1
421010021001007,1,1,2
421010021002013,2,,2
421010021002015,2,,2
421010021002020,1,,1
421010021002021,2,,2
421010022003008,1,,1
421010023001002,,1,1
421010023001007,1,,1
421010023002005,1,,1
421010023002008,,1,1
421010024001001,,1,1
421010024001002,1,,1
421010024002009,1,,1
421010024002011,1,,1
421010024003019,,1,1
421010024004004,,1,1
421010024005001,1,,1
421010024005007,1,,1
421010025001009,1,,1
421010025002002,1,,1
421010025002015,2,,2
421010025003004,1,,1
421010025003006,1,,1
421010025004001,1,,1
421010025004007,1,,1
421010027012008,1,,1
421010027012010,1,,1
421010027021000,,1,1
421010027021009,,1,1
421010027022000,1,,1
421010027022015,1,,1
421010027022024,,1,1
421010028011008,1,,1
421010028011011,1,,1
421010028012003,,1,1
421010028021004,1,,1
421010028022000,,1,1
421010028022005,,1,1
421010028023000,,1,1
421010028023001,1,1,2
421010029001000,2,,2
421010029001001,1,,1
421010029001005,,1,1
421010029001009,1,,1
421010029001012,1,,1
421010029002000,,1,1
421010029002002,,1,1
421010029003001,1,,1
421010030012005,1,,1
421010030021000,1,,1
421010030021006,1,,1
421010030022001,1,,1
421010031001011,1,,1
421010031001014,,2,2
421010031001017,,1,1
421010031001019,,1,1
421010031003000,1,,1
421010031003001,1,,1
421010031004002,1,,1
421010031004003,1,,1
421010031004005,,1,1
421010031004008,1,1,2
421010031005000,1,,1
421010031005003,1,,1
421010031005007,1,,1
421010031005010,1,,1
421010031005011,1,,1
421010031006008,1,,1
421010031006009,1,,1
421010032002000,,1,1
421010032006002,1,1,2
421010032006005,1,,1
421010033001004,,1,1
421010033001005,1,,1
421010033001010,1,,1
421010036001000,,1,1
421010036001013,1,,1
421010036004010,,1,1
421010037011005,1,,1
421010037013006,1,,1
421010037021006,,1,1
421010037022005,,1,1
421010037023006,3,,3
421010038001005,1,,1
421010039011010,1,,1
421010039013002,1,,1
421010039014003,,1,1
421010039014019,,1,1
421010040011006,1,1,2
421010040012011,1,,1
421010040013001,1,,1
421010040013011,1,,1
421010040014008,1,,1
421010040023000,,1,1
421010040023004,1,,1
421010040023017,1,,1
421010040024012,,1,1
421010041011002,1,,1
421010041013025,2,,2
421010041041004,1,,1
421010042013006,1,,1
421010042014001,1,,1
421010042014004,1,,1
