Census Block,FY22 Count,FY23 Count,FY24 Count,Grand Total
421010001014001,,,2,2
421010001014002,4,,1,5
421010001014009,2,,,2
421010001014010,2,,,2
421010001014012,1,,,1
421010001015001,1,,,1
421010001015003,,,1,1
421010001021015,,,2,2
421010001021016,1,,2,3
421010001021018,2,,,2
421010001021022,3,,1,4
421010001023003,1,,,1
421010001023006,1,,,1
421010001024005,3,,,3
421010001025007,1,,,1
421010002001010,,,1,1
421010002001011,2,,,2
421010002001016,,,1,1
421010002003007,,,1,1
421010002003009,,1,,1
421010002003011,1,,,1
421010003001003,,1,,1
421010003001008,,,1,1
421010003001011,,2,,2
421010003001012,1,,,1
421010003001013,,,1,1
421010003001016,1,,,1
421010004013007,1,,,1
421010004042000,,1,,1
421010005004005,1,,,1
421010008012005,,,1,1
421010008012006,1,,,1
421010008012007,,2,,2
421010008031002,1,1,1,3
421010008031003,,2,,2
421010008032000,1,,,1
421010008032001,1,,,1
421010008052002,,,1,1
421010009011000,1,,,1
421010009011008,1,,,1
421010009011009,,,1,1
421010009012005,,1,,1
421010009012007,,,1,1
421010009021003,,,1,1
421010009021006,1,,,1
421010009021011,1,,1,2
421010009022007,,,1,1
421010010011000,,,1,1
421010010011005,1,,,1
421010010021000,2,,,2
421010010021019,1,,,1
421010010022007,1,,,1
421010010022009,,,1,1
421010010024005,1,,,1
421010011011005,1,,,1
421010011012002,,,1,1
421010011012007,,,1,1
421010011013012,1,,,1
421010011013015,,,1,1
421010011021001,5,,1,6
421010011021003,1,,,1
421010011021008,1,,,1
421010011021010,,,1,1
421010011022002,1,,,1
421010012011000,,,1,1
421010012011010,,1,,1
421010012011013,,1,,1
421010012011018,,,1,1
421010012012003,,1,,1
421010012012005,,1,,1
421010012012007,,,2,2
421010012012009,,,1,1
421010012012010,,,1,1
421010012012012,1,,,1
421010012012013,,1,1,2
421010012013011,,,1,1
421010012013015,,,2,2
421010012014007,1,,,1
421010012014014,,,1,1
421010012031003,,1,,1
421010012031009,,,1,1
421010012032005,,1,1,2
421010012041000,1,,,1
421010012041007,,1,,1
421010012041008,1,,,1
421010012042000,,1,,1
421010012042005,,1,,1
421010012042007,1,,,1
421010012042009,,1,,1
421010012042010,,1,,1
421010012043009,,,1,1
421010012043010,,,1,1
421010013012007,,,1,1
421010013021002,,,1,1
421010013021007,,1,,1
421010013022006,,,1,1
421010013024003,,1,,1
421010014001005,,1,,1
421010014001007,,1,1,2
421010014001010,1,2,9,12
421010014001011,,,1,1
421010014001014,,1,,1
421010014002001,1,1,,2
421010014003008,,1,,1
421010014003014,,1,,1
421010015001000,,,1,1
421010015001007,,,1,1
421010015002000,,,1,1
421010015002006,,,1,1
421010015002015,1,1,,2
421010015002016,,2,,2
421010016001009,,,2,2
421010016001011,1,,,1
421010016001015,2,,1,3
421010016001016,1,,,1
421010016001017,1,,,1
421010016002004,,1,,1
421010017001002,4,,,4
421010017001005,,,1,1
421010017001011,1,,,1
421010017002005,1,,,1
421010017002011,,,1,1
421010017002013,,,1,1
421010017002014,1,,,1
421010017002015,2,,,2
421010017002016,,,1,1
421010018001001,1,,,1
421010018001007,1,,1,2
421010018001009,,,1,1
421010018001018,,1,,1
421010018001022,2,,,2
421010018001026,1,,,1
421010018001027,2,,,2
421010018002010,,1,,1
421010018002013,1,,,1
421010019001000,,1,,1
421010019002005,,1,,1
421010019003003,,1,,1
421010019003011,,3,,3
421010019003013,,1,,1
421010020001007,,,1,1
421010020001014,,1,,1
421010020002007,,,1,1
421010021001011,,,1,1
421010021001013,,,1,1
421010021002002,,1,,1
421010021002012,,1,,1
421010022002000,,2,,2
421010022002005,1,,,1
421010022003002,,1,,1
421010022003012,,,1,1
421010023001002,1,,,1
421010023001003,2,,,2
421010023001004,1,,,1
421010023001006,1,1,,2
421010023002007,1,,,1
421010023002011,1,,1,2
421010024001003,1,,,1
421010024001005,1,,,1
421010024001008,,,1,1
421010024001009,,1,,1
421010024002001,1,,,1
